default|check_acc_status|duration|credit_history|purpose|credit_amount|savings|unemployment|ins_inc_ratio|personal_status_sex|other_debtors|residence since|property|age|other_ins_plans|housing|credits_number|job|liable_people|telephone|foreign_worker
0|less_0|6|critical_account|radio_tv|1169|unknown|7_more|4|male_sin|none|4|real_estate|67|none|own|2|skilled_employee|1|yes|yes
1|0_200|48|existing_paid_duly|radio_tv|5951|less_100|1_4|2|female_div_sep_mar|none|2|real_estate|22|none|own|1|skilled_employee|1|no|yes
0|no_account|12|critical_account|education|2096|less_100|4_7|2|male_sin|none|3|real_estate|49|none|own|1|unskilled|2|no|yes
0|less_0|42|existing_paid_duly|furniture|7882|less_100|4_7|2|male_sin|guarantor|4|life_insurance|45|none|for_free|1|skilled_employee|2|no|yes
1|less_0|24|past_delays|new_car|4870|less_100|1_4|3|male_sin|none|4|unknown|53|none|for_free|2|skilled_employee|2|no|yes
0|no_account|36|existing_paid_duly|education|9055|unknown|1_4|2|male_sin|none|4|unknown|35|none|for_free|1|unskilled|2|yes|yes
0|no_account|24|existing_paid_duly|furniture|2835|500_1000|7_more|3|male_sin|none|4|life_insurance|53|none|own|1|skilled_employee|1|no|yes
0|0_200|36|existing_paid_duly|used_car|6948|less_100|1_4|2|male_sin|none|2|car_other|35|none|rent|1|management|1|yes|yes
0|no_account|12|existing_paid_duly|radio_tv|3059|1000_more|4_7|2|male_div_sep|none|4|real_estate|61|none|own|1|unskilled|1|no|yes
1|0_200|30|critical_account|new_car|5234|less_100|unemployed|4|male_mar_wid|none|2|car_other|28|none|own|2|management|1|no|yes
1|0_200|12|existing_paid_duly|new_car|1295|less_100|less_1|3|female_div_sep_mar|none|1|car_other|25|none|rent|1|skilled_employee|1|no|yes
1|less_0|48|existing_paid_duly|business|4308|less_100|less_1|3|female_div_sep_mar|none|4|life_insurance|24|none|rent|1|skilled_employee|1|no|yes
0|0_200|12|existing_paid_duly|radio_tv|1567|less_100|1_4|1|female_div_sep_mar|none|1|car_other|22|none|own|1|skilled_employee|1|yes|yes
1|less_0|24|critical_account|new_car|1199|less_100|7_more|4|male_sin|none|4|car_other|60|none|own|2|unskilled|1|no|yes
0|less_0|15|existing_paid_duly|new_car|1403|less_100|1_4|2|female_div_sep_mar|none|4|car_other|28|none|rent|1|skilled_employee|1|no|yes
1|less_0|24|existing_paid_duly|radio_tv|1282|100_500|1_4|4|female_div_sep_mar|none|2|car_other|32|none|own|1|unskilled|1|no|yes
0|no_account|24|critical_account|radio_tv|2424|unknown|7_more|4|male_sin|none|4|life_insurance|53|none|own|2|skilled_employee|1|no|yes
0|less_0|30|no_credits|business|8072|unknown|less_1|2|male_sin|none|3|car_other|25|bank|own|3|skilled_employee|1|no|yes
1|0_200|24|existing_paid_duly|used_car|12579|less_100|7_more|4|female_div_sep_mar|none|2|unknown|44|none|for_free|1|management|1|yes|yes
0|no_account|24|existing_paid_duly|radio_tv|3430|500_1000|7_more|3|male_sin|none|2|car_other|31|none|own|1|skilled_employee|2|yes|yes
0|no_account|9|critical_account|new_car|2134|less_100|1_4|4|male_sin|none|4|car_other|48|none|own|3|skilled_employee|1|yes|yes
0|less_0|6|existing_paid_duly|radio_tv|2647|500_1000|1_4|2|male_sin|none|3|real_estate|44|none|rent|1|skilled_employee|2|no|yes
0|less_0|10|critical_account|new_car|2241|less_100|less_1|1|male_sin|none|3|real_estate|48|none|rent|2|unskilled|2|no|no
0|0_200|12|critical_account|used_car|1804|100_500|less_1|3|male_sin|none|4|life_insurance|44|none|own|1|skilled_employee|1|no|yes
0|no_account|10|critical_account|furniture|2069|unknown|1_4|2|male_mar_wid|none|1|car_other|26|none|own|2|skilled_employee|1|no|no
0|less_0|6|existing_paid_duly|furniture|1374|less_100|1_4|1|male_sin|none|2|real_estate|36|bank|own|1|unskilled|1|yes|yes
0|no_account|6|no_credits|radio_tv|426|less_100|7_more|4|male_mar_wid|none|4|car_other|39|none|own|1|unskilled|1|no|yes
0|200_more|12|past_paid_duly|radio_tv|409|1000_more|1_4|3|female_div_sep_mar|none|3|real_estate|42|none|rent|2|skilled_employee|1|no|yes
0|0_200|7|existing_paid_duly|radio_tv|2415|less_100|1_4|3|male_sin|guarantor|2|real_estate|34|none|own|1|skilled_employee|1|no|yes
1|less_0|60|past_delays|business|6836|less_100|7_more|3|male_sin|none|4|unknown|63|none|own|2|skilled_employee|1|yes|yes
0|0_200|18|existing_paid_duly|business|1913|1000_more|less_1|3|male_mar_wid|none|3|real_estate|36|bank|own|1|skilled_employee|1|yes|yes
0|less_0|24|existing_paid_duly|furniture|4020|less_100|1_4|2|male_sin|none|2|car_other|27|stores|own|1|skilled_employee|1|no|yes
0|0_200|18|existing_paid_duly|new_car|5866|100_500|1_4|2|male_sin|none|2|car_other|30|none|own|2|skilled_employee|1|yes|yes
0|no_account|12|critical_account|business|1264|unknown|7_more|4|male_sin|none|4|unknown|57|none|rent|1|unskilled|1|no|yes
0|200_more|12|existing_paid_duly|furniture|1474|less_100|less_1|4|female_div_sep_mar|none|1|life_insurance|33|bank|own|1|management|1|yes|yes
1|0_200|45|critical_account|radio_tv|4746|less_100|less_1|4|male_sin|none|2|life_insurance|25|none|own|2|unskilled|1|no|yes
0|no_account|48|critical_account|education|6110|less_100|1_4|1|male_sin|none|3|unknown|31|bank|for_free|1|skilled_employee|1|yes|yes
1|200_more|18|existing_paid_duly|radio_tv|2100|less_100|1_4|4|male_sin|coapplicant|2|real_estate|37|stores|own|1|skilled_employee|1|no|yes
0|200_more|10|existing_paid_duly|domestic_appliances|1225|less_100|1_4|2|male_sin|none|2|car_other|37|none|own|1|skilled_employee|1|yes|yes
0|0_200|9|existing_paid_duly|radio_tv|458|less_100|1_4|4|male_sin|none|3|real_estate|24|none|own|1|skilled_employee|1|no|yes
0|no_account|30|existing_paid_duly|radio_tv|2333|500_1000|7_more|4|male_sin|none|2|car_other|30|bank|own|1|management|1|no|yes
0|0_200|12|existing_paid_duly|radio_tv|1158|500_1000|1_4|3|male_div_sep|none|1|car_other|26|none|own|1|skilled_employee|1|yes|yes
0|0_200|18|past_delays|repairs|6204|less_100|1_4|2|male_sin|none|4|real_estate|44|none|own|1|unskilled|2|yes|yes
0|less_0|30|critical_account|used_car|6187|100_500|4_7|1|male_mar_wid|none|4|car_other|24|none|rent|2|skilled_employee|1|no|yes
1|less_0|48|critical_account|used_car|6143|less_100|7_more|4|female_div_sep_mar|none|4|unknown|58|stores|for_free|2|unskilled|1|no|yes
0|no_account|11|critical_account|new_car|1393|less_100|less_1|4|female_div_sep_mar|none|4|car_other|35|none|own|2|management|1|no|yes
0|no_account|36|existing_paid_duly|radio_tv|2299|500_1000|7_more|4|male_sin|none|4|car_other|39|none|own|1|skilled_employee|1|no|yes
0|less_0|6|existing_paid_duly|used_car|1352|500_1000|unemployed|1|female_div_sep_mar|none|2|life_insurance|23|none|rent|1|unemployed|1|yes|yes
0|no_account|11|critical_account|new_car|7228|less_100|1_4|1|male_sin|none|4|life_insurance|39|none|own|2|unskilled|1|no|yes
0|no_account|12|existing_paid_duly|radio_tv|2073|100_500|1_4|4|female_div_sep_mar|coapplicant|2|real_estate|28|none|own|1|skilled_employee|1|no|yes
0|0_200|24|past_delays|furniture|2333|unknown|less_1|4|male_sin|none|2|life_insurance|29|bank|own|1|unskilled|1|no|yes
0|0_200|27|past_delays|used_car|5965|less_100|7_more|1|male_sin|none|2|car_other|30|none|own|2|management|1|yes|yes
0|no_account|12|existing_paid_duly|radio_tv|1262|less_100|1_4|3|male_sin|none|2|car_other|25|none|own|1|skilled_employee|1|no|yes
0|no_account|18|existing_paid_duly|used_car|3378|unknown|1_4|2|male_sin|none|1|life_insurance|31|none|own|1|skilled_employee|1|yes|yes
1|0_200|36|past_delays|new_car|2225|less_100|7_more|4|male_sin|none|4|unknown|57|bank|for_free|2|skilled_employee|1|yes|yes
0|no_account|6|past_paid_duly|new_car|783|unknown|1_4|1|male_sin|guarantor|2|real_estate|26|stores|own|1|unskilled|2|no|yes
1|0_200|12|existing_paid_duly|radio_tv|6468|unknown|unemployed|2|male_sin|none|1|unknown|52|none|own|1|management|1|yes|yes
0|no_account|36|critical_account|radio_tv|9566|less_100|1_4|2|female_div_sep_mar|none|2|car_other|31|stores|own|2|skilled_employee|1|no|yes
0|200_more|18|existing_paid_duly|new_car|1961|less_100|7_more|3|female_div_sep_mar|none|2|car_other|23|none|own|1|management|1|no|yes
1|less_0|36|critical_account|furniture|6229|less_100|less_1|4|female_div_sep_mar|coapplicant|4|unknown|23|none|rent|2|unskilled|1|yes|yes
0|0_200|9|existing_paid_duly|business|1391|less_100|1_4|2|male_mar_wid|none|1|real_estate|27|bank|own|1|skilled_employee|1|yes|yes
0|0_200|15|critical_account|radio_tv|1537|unknown|7_more|4|male_sin|guarantor|4|real_estate|50|none|own|2|skilled_employee|1|yes|yes
1|0_200|36|no_credits|business|1953|less_100|7_more|4|male_sin|none|4|unknown|61|none|for_free|1|management|1|yes|yes
1|0_200|48|no_credits|business|14421|less_100|1_4|2|male_sin|none|2|car_other|25|none|own|1|skilled_employee|1|yes|yes
0|no_account|24|existing_paid_duly|radio_tv|3181|less_100|less_1|4|female_div_sep_mar|none|4|life_insurance|26|none|own|1|skilled_employee|1|yes|yes
0|no_account|27|existing_paid_duly|repairs|5190|unknown|7_more|4|male_sin|none|4|life_insurance|48|none|own|4|skilled_employee|2|yes|yes
0|no_account|12|existing_paid_duly|radio_tv|2171|less_100|less_1|2|female_div_sep_mar|none|2|car_other|29|bank|own|1|skilled_employee|1|no|yes
0|0_200|12|existing_paid_duly|new_car|1007|1000_more|1_4|4|male_mar_wid|none|1|real_estate|22|none|own|1|skilled_employee|1|no|yes
1|no_account|36|existing_paid_duly|education|1819|less_100|1_4|4|male_sin|none|4|unknown|37|stores|for_free|1|skilled_employee|1|yes|yes
0|no_account|36|existing_paid_duly|radio_tv|2394|unknown|1_4|4|female_div_sep_mar|none|4|car_other|25|none|own|1|skilled_employee|1|no|yes
0|no_account|36|existing_paid_duly|used_car|8133|less_100|1_4|1|female_div_sep_mar|none|2|life_insurance|30|bank|own|1|skilled_employee|1|no|yes
0|no_account|7|critical_account|radio_tv|730|unknown|7_more|4|male_sin|none|2|life_insurance|46|none|rent|2|unskilled|1|yes|yes
0|less_0|8|critical_account|others|1164|less_100|7_more|3|male_sin|none|4|unknown|51|bank|for_free|2|management|2|yes|yes
0|0_200|42|critical_account|business|5954|less_100|4_7|2|female_div_sep_mar|none|1|real_estate|41|bank|own|2|unskilled|1|no|yes
1|less_0|36|existing_paid_duly|education|1977|unknown|7_more|4|male_sin|none|4|unknown|40|none|own|1|management|1|yes|yes
0|less_0|12|critical_account|used_car|1526|less_100|7_more|4|male_sin|none|4|unknown|66|none|for_free|2|management|1|no|yes
